Latitude	longitude	
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.02	-77.83	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
18.33	-78.33	Khan_2017_Caribbean
20.22	-91.98	Khan_2017_Caribbean
20.2	-91.98	Khan_2017_Caribbean
20.85	-86.88	Khan_2017_Caribbean
20.22	-91.98	Khan_2017_Caribbean
20.13	-90.45	Khan_2017_Caribbean
20.22	-91.98	Khan_2017_Caribbean
20.2	-91.98	Khan_2017_Caribbean
20.2	-91.98	Khan_2017_Caribbean
20.2	-91.98	Khan_2017_Caribbean
20.2	-91.98	Khan_2017_Caribbean
20.22	-91.98	Khan_2017_Caribbean
20.85	-86.88	Khan_2017_Caribbean
20.22	-91.98	Khan_2017_Caribbean
20.22	-91.98	Khan_2017_Caribbean
20.13	-90.45	Khan_2017_Caribbean
20.85	-86.88	Khan_2017_Caribbean
20.92	-92.21	Khan_2017_Caribbean
20.85	-86.88	Khan_2017_Caribbean
20.85	-86.88	Khan_2017_Caribbean
20.13	-90.45	Khan_2017_Caribbean
18.45	-88.53	Khan_2017_Caribbean
20.2	-91.98	Khan_2017_Caribbean
20.2	-91.98	Khan_2017_Caribbean
20.2	-91.98	Khan_2017_Caribbean
18.45	-88.53	Khan_2017_Caribbean
20.27	-87.49	Khan_2017_Caribbean
20.27	-87.49	Khan_2017_Caribbean
20.27	-87.49	Khan_2017_Caribbean
20.27	-87.49	Khan_2017_Caribbean
8.95	-62	Khan_2017_Caribbean
8.95	-62	Khan_2017_Caribbean
8.95	-62	Khan_2017_Caribbean
8.95	-62	Khan_2017_Caribbean
8.95	-62	Khan_2017_Caribbean
8.95	-62	Khan_2017_Caribbean
8.95	-62	Khan_2017_Caribbean
8.95	-62	Khan_2017_Caribbean
8.95	-62	Khan_2017_Caribbean
9.84	-62.27	Khan_2017_Caribbean
9.84	-62.27	Khan_2017_Caribbean
9.84	-62.27	Khan_2017_Caribbean
10.71	-63.01	Khan_2017_Caribbean
9.41	-79.86	Khan_2017_Caribbean
9.41	-79.86	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.41	-79.86	Khan_2017_Caribbean
9.41	-79.86	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.41	-79.86	Khan_2017_Caribbean
9.41	-79.86	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.41	-79.86	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
9.39	-79.82	Khan_2017_Caribbean
18.38	-65.62	Khan_2017_Caribbean
18.13	-65.3	Khan_2017_Caribbean
17.93	-66.25	Khan_2017_Caribbean
17.93	-66.25	Khan_2017_Caribbean
18.38	-65.62	Khan_2017_Caribbean
18.13	-65.3	Khan_2017_Caribbean
17.94	-66.24	Khan_2017_Caribbean
17.94	-66.24	Khan_2017_Caribbean
17.94	-66.24	Khan_2017_Caribbean
17.94	-66.24	Khan_2017_Caribbean
18.38	-65.62	Khan_2017_Caribbean
17.93	-66.24	Khan_2017_Caribbean
17.94	-66.24	Khan_2017_Caribbean
18.13	-65.3	Khan_2017_Caribbean
17.93	-66.24	Khan_2017_Caribbean
18.13	-65.3	Khan_2017_Caribbean
18.41	-65.77	Khan_2017_Caribbean
17.94	-66.24	Khan_2017_Caribbean
18.38	-65.62	Khan_2017_Caribbean
17.94	-66.24	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.47	-66.67	Khan_2017_Caribbean
18.47	-66.67	Khan_2017_Caribbean
18.47	-66.67	Khan_2017_Caribbean
18.46	-66.21	Khan_2017_Caribbean
18.47	-66.78	Khan_2017_Caribbean
18.47	-66.78	Khan_2017_Caribbean
